"","leadGram","gram","Record"
"7572","you","might",83
"9458","have","some",83
"10068","again","and",83
"12521","and","at",83
"15382","then","he",83
"21281","we","also",83
"104","years","and",82
"680","that","day",82
"1669","before","we",82
"2297","far","as",82
"2466","she","could",82
"2909","me","as",82
"8545","known","as",82
"8900","that","and",82
"13438","after","i",82
"24006","but","also",82
"31630","the","power",82
"1528","these","things",81
"1826","few","weeks",81
"2265","night","and",81
"3141","the","air",81
"3839","makes","it",81
"8155","were","going",81
"8173","right","to",81
"8182","i","wont",81
"8620","so","you",81
"9658","had","an",81
"12100","through","a",81
"12763","make","me",81
"12931","was","all",81
"14648","also","the",81
"14842","where","you",81
"20071","each","of",81
"22667","my","kids",81
"27799","i","look",81
"34430","be","done",81
"684","we","want",80
"5100","when","my",80
"6940","we","didnt",80
"7443","pair","of",80
"8327","me","but",80
"12025","version","of",80
"13228","what","a",80
"13233","do","a",80
"14092","god","is",80
"17614","or","two",80
"19043","turns","out",80
"24558","create","a",80
"39430","have","any",80
"42764","group","of",80
"43776","not","as",80
"15","a","result",79
"2260","i","spent",79
"2320","from","this",79
"2437","she","did",79
"2714","but","my",79
"2726","knew","that",79
"3669","are","you",79
"4636","that","of",79
"7415","see","if",79
"8553","my","son",79
"10412","was","there",79
"10453","to","deal",79
"10520","to","pick",79
"11855","was","only",79
"12984","it","off",79
"17283","a","beautiful",79
"18462","in","there",79
"19130","where","they",79
"21247","up","at",79
"21571","in","life",79
"25290","and","went",79
"25494","i","actually",79
"26191","it","could",79
